院校名称,年份,省份,科类,批次,最低分,最低位次,平均分,招生人数,院校代码
南昌理工学院,2024,陕西,文科,本科二批,398,47335,,2,南昌理工学院
武汉铁路职业技术学院,2024,陕西,文科,专科批,398,47366,,,武汉铁路职业技术学院
海口经济学院,2024,陕西,文科,本科二批,398,47377,,9,海口经济学院
南京信息职业技术学院,2024,陕西,文科,专科批,398,47388,,,南京信息职业技术学院
上海民航职业技术学院,2024,陕西,文科,专科批,398,47434,,,上海民航职业技术学院
蚌埠医科大学,2024,陕西,理科,本科二批,496,47556,,10,蚌埠医科大学
北方工业大学,2024,陕西,理科,本科一批,496,47592,,5,北方工业大学
天津师范大学,2024,陕西,理科,本科一批,496,47604,,40,天津师范大学
四川护理职业学院,2024,陕西,文科,专科批,397,47630,,,四川护理职业学院
首都经济贸易大学,2024,陕西,理科,本科一批,496,47863,,11,首都经济贸易大学
西华大学,2024,陕西,理科,本科一批,496,47882,,61,西华大学
上海中侨职业技术大学,2024,陕西,文科,本科二批,397,47894,,5,上海中侨职业技术大学
上海电子信息职业技术学院,2024,陕西,文科,专科批,397,47941,,,上海电子信息职业技术
济南大学,2024,陕西,理科,本科一批,496,47961,,34,济南大学
菏泽医学专科学校,2024,陕西,文科,专科批,396,48044,,,菏泽医学专科学校
西北政法大学,2024,陕西,理科,本科一批,496,48053,,31,西北政法大学
常州信息职业技术学院,2024,陕西,文科,专科批,396,48169,,,常州信息职业技术学院
苏州职业技术大学,2024,陕西,文科,专科批,396,48260,,,苏州职业技术大学
石家庄铁路职业技术学院,2024,陕西,文科,专科批,395,48416,,,石家庄铁路职业技术学
西安石油大学,2024,陕西,理科,本科一批,495,48423,,1987,西安石油大学
西北政法大学,2024,陕西,理科,本科一批,495,48644,,353,西北政法大学
湖南铁道职业技术学院,2024,陕西,文科,专科批,395,48683,,,湖南铁道职业技术学院
湖南科技大学,2024,陕西,理科,本科一批,495,48723,,112,湖南科技大学
成都职业技术学院,2024,陕西,文科,专科批,395,48724,,,成都职业技术学院
重庆工商职业学院,2024,陕西,文科,专科批,395,48725,,,重庆工商职业学院
西安文理学院,2024,陕西,理科,本科提前批C段,495,48731,,,西安文理学院
抚州医药学院,2024,陕西,文科,专科批,394,48811,,,抚州医药学院
桂林旅游学院,2024,陕西,文科,专科批,394,48819,,,桂林旅游学院
西安铁路职业技术学院,2024,陕西,文科,专科批,394,48930,,,西安铁路职业技术学院
湖南铁路科技职业技术学院,2024,陕西,文科,专科批,394,48959,,,湖南铁路科技职业技术
江苏科技大学,2024,陕西,理科,本科一批,494,48968,,70,江苏科技大学
浙江农林大学,2024,陕西,理科,本科一批,494,49002,,24,浙江农林大学
兰州交通大学,2024,陕西,理科,本科一批,494,49003,,141,兰州交通大学
石河子大学,2024,陕西,理科,本科一批,494,49016,,95,石河子大学
鞍山师范学院,2024,陕西,文科,专科批,393,49133,,,鞍山师范学院
重庆水利电力职业技术学院,2024,陕西,文科,专科批,393,49174,,,重庆水利电力职业技术
上海出版印刷高等专科学校,2024,陕西,文科,专科批,393,49205,,,上海出版印刷高等专科
西南民族大学,2024,陕西,理科,本科一批,494,49232,,8,西南民族大学
西安外事学院,2024,陕西,文科,专科批,393,49308,,,西安外事学院
西安科技大学,2024,陕西,理科,本科一批,493,49344,,2474,西安科技大学
四川工程职业技术大学,2024,陕西,文科,专科批,393,49387,,,四川工程职业技术大学
青岛大学,2024,陕西,理科,本科一批,493,49411,,32,青岛大学
重庆工商大学,2024,陕西,理科,本科一批,493,49525,,15,重庆工商大学
河北大学,2024,陕西,理科,本科一批,493,49530,,67,河北大学
东北林业大学,2024,陕西,理科,本科一批,493,49567,,4,东北林业大学
西安工业大学,2024,陕西,理科,本科一批,493,49670,,89,西安工业大学
吉林铁道职业技术大学,2024,陕西,文科,专科批,392,49682,,,吉林铁道职业技术大学
牡丹江医科大学,2024,陕西,理科,本科二批,493,49786,,5,牡丹江医科大学
陕西科技大学,2024,陕西,理科,本科一批,493,49855,,174,陕西科技大学
中央司法警官学院,2024,陕西,理科,本科提前批A段,493,49861,,,中央司法警官学院
武汉软件工程职业学院,2024,陕西,文科,专科批,391,49958,,,武汉软件工程职业学院
北京印刷学院,2024,陕西,理科,本科一批,492,50001,,20,北京印刷学院
武汉纺织大学外经贸学院,2024,陕西,文科,专科批,391,50072,,,武汉纺织大学外经贸学
山东科技大学,2024,陕西,理科,本科一批,492,50239,,95,山东科技大学
福建农林大学,2024,陕西,理科,本科一批,492,50314,,11,福建农林大学
西安邮电大学,2024,陕西,理科,本科一批,492,50347,,220,西安邮电大学
广州科技贸易职业学院,2024,陕西,文科,专科批,390,50355,,,广州科技贸易职业学院
长春医学高等专科学校,2024,陕西,文科,专科批,390,50400,,,长春医学高等专科学校
上海科学技术职业学院,2024,陕西,文科,专科批,390,50417,,,上海科学技术职业学院
江西理工大学,2024,陕西,理科,本科一批,492,50433,,36,江西理工大学
西安欧亚学院,2024,陕西,文科,专科批,390,50544,,,西安欧亚学院
陕西警察学院,2024,陕西,文科,专科批,390,50568,,,陕西警察学院
黑龙江大学,2024,陕西,理科,本科一批,491,50602,,5,黑龙江大学
四川司法警官职业学院,2024,陕西,文科,专科批,389,50689,,,四川司法警官职业学院
东华理工大学,2024,陕西,理科,本科一批,491,50744,,44,东华理工大学
温州肯恩大学,2024,陕西,理科,本科一批,491,50766,,8,温州肯恩大学
西安医学高等专科学校,2024,陕西,文科,专科批,389,50836,,,西安医学高等专科学校
江西职业技术大学,2024,陕西,文科,专科批,389,50873,,,江西职业技术大学
南华大学,2024,陕西,理科,本科一批,491,50885,,80,南华大学
江苏农林职业技术学院,2024,陕西,文科,专科批,389,50916,,,江苏农林职业技术学院
四川电影电视学院,2024,陕西,文科,专科批,388,51078,,,四川电影电视学院
贵州大学,2024,陕西,理科,本科一批,490,51198,,4,贵州大学
连云港师范学院,2024,陕西,文科,专科批,388,51293,,,连云港师范学院
武汉警官职业学院,2024,陕西,文科,专科批,388,51329,,,武汉警官职业学院
襄阳职业技术大学,2024,陕西,文科,专科批,388,51384,,,襄阳职业技术大学
东北石油大学,2024,陕西,理科,本科一批,490,51385,,113,东北石油大学
西安翻译学院,2024,陕西,文科,专科批,388,51424,,,西安翻译学院
重庆财经职业学院,2024,陕西,文科,专科批,387,51474,,,重庆财经职业学院
沈阳建筑大学,2024,陕西,理科,本科一批,490,51535,,21,沈阳建筑大学
上海电子信息职业技术学院,2024,陕西,文科,专科批,387,51550,,,上海电子信息职业技术
西安工业大学,2024,陕西,理科,本科一批,490,51601,,152,西安工业大学
石家庄铁道大学,2024,陕西,理科,本科一批,490,51618,,137,石家庄铁道大学
湖南工业大学,2024,陕西,理科,本科一批,490,51635,,86,湖南工业大学
西安培华学院,2024,陕西,文科,专科批,387,51636,,,西安培华学院
福建农林大学,2024,陕西,理科,本科一批,490,51679,,19,福建农林大学
湖南生物机电职业技术学院,2024,陕西,文科,专科批,387,51726,,,湖南生物机电职业技术
华侨大学,2024,陕西,理科,本科一批,489,51783,,1,华侨大学
成都轻工职业技术大学,2024,陕西,文科,专科批,386,51838,,,成都轻工职业技术大学
南京林业大学,2024,陕西,理科,本科一批,489,51875,,6,南京林业大学
辽宁工程技术大学,2024,陕西,理科,本科一批,489,51878,,43,辽宁工程技术大学
沈阳航空航天大学,2024,陕西,理科,本科二批,489,51905,,19,沈阳航空航天大学
安徽医科大学,2024,陕西,理科,本科二批,489,52140,,7,安徽医科大学
河南经贸职业学院,2024,陕西,文科,专科批,386,52160,,,河南经贸职业学院
天津现代职业技术学院,2024,陕西,文科,专科批,386,52218,,,天津现代职业技术学院
三峡大学,2024,陕西,理科,本科一批,489,52299,,49,三峡大学
海南师范大学,2024,陕西,理科,本科一批,489,52358,,7,海南师范大学
宝鸡文理学院,2024,陕西,理科,本科提前批C段,489,52358,,39,宝鸡文理学院
渭南师范学院,2024,陕西,理科,本科提前批C段,489,52358,,30,渭南师范学院
陕西科技大学,2024,陕西,理科,本科一批,488,52364,,79,陕西科技大学
北京体育大学,2024,陕西,理科,本科一批,488,52427,,1,北京体育大学
日照职业技术大学,2024,陕西,文科,专科批,385,52428,,,日照职业技术大学
吉林大学,2024,陕西,理科,本科一批,488,52523,,33,吉林大学
武汉生物工程学院,2024,陕西,文科,专科批,385,52529,,,武汉生物工程学院
中国石油大学（华东）,2024,陕西,理科,本科一批,488,52662,,12,中国石油大学（华东）
天津警察学院,2024,陕西,文科,专科批,384,52722,,,天津警察学院
安徽工业大学,2024,陕西,理科,本科一批,488,52740,,55,安徽工业大学
江西医学高等专科学校,2024,陕西,文科,专科批,384,52767,,,江西医学高等专科学校
河北轨道运输职业技术学院,2024,陕西,文科,专科批,384,52808,,,河北轨道运输职业技术
沈阳工业大学,2024,陕西,理科,本科一批,488,52922,,29,沈阳工业大学
安徽理工大学,2024,陕西,理科,本科一批,487,52973,,130,安徽理工大学
湖北中医药高等专科学校,2024,陕西,文科,专科批,384,53025,,,湖北中医药高等专科学
武汉工程大学,2024,陕西,理科,本科一批,487,53098,,4,武汉工程大学
中南林业科技大学,2024,陕西,理科,本科一批,487,53210,,68,中南林业科技大学
赣州师范高等专科学校,2024,陕西,文科,专科批,383,53251,,,赣州师范高等专科学校
湖南农业大学,2024,陕西,理科,本科一批,487,53269,,53,湖南农业大学
哈尔滨铁道职业技术学院,2024,陕西,文科,专科批,383,53330,,,哈尔滨铁道职业技术学
陕西职业技术学院,2024,陕西,文科,专科批,382,53485,,,陕西职业技术学院
上海城建职业学院,2024,陕西,文科,专科批,382,53540,,,上海城建职业学院
陆军军医大学,2024,陕西,理科,本科提前批A段,487,53576,,,陆军军医大学
湖南大众传媒职业技术学院,2024,陕西,文科,专科批,382,53579,,,湖南大众传媒职业技术
贵州大学,2024,陕西,理科,本科一批,486,53652,,1,贵州大学
黑龙江大学,2024,陕西,理科,本科一批,486,53660,,41,黑龙江大学
柳州铁道职业技术学院,2024,陕西,文科,专科批,382,53673,,,柳州铁道职业技术学院
河北师范大学,2024,陕西,理科,本科一批,486,53748,,38,河北师范大学
西安科技大学高新学院,2024,陕西,文科,专科批,381,53838,,,西安科技大学高新学院
延安大学,2024,陕西,理科,本科一批,486,53846,,1908,延安大学
沈阳工程学院,2024,陕西,理科,本科二批,486,54150,,6,沈阳工程学院
沈阳工业大学,2024,陕西,理科,本科一批,485,54217,,12,沈阳工业大学
广西警察学院,2024,陕西,文科,专科批,380,54219,,,广西警察学院
华中农业大学,2024,陕西,理科,本科一批,485,54571,,11,华中农业大学
宁波大学,2024,陕西,理科,本科一批,485,54574,,2,宁波大学
沈阳药科大学,2024,陕西,理科,本科一批,485,54596,,1,沈阳药科大学
江西师范大学,2024,陕西,理科,本科一批,485,54666,,34,江西师范大学
大连交通大学,2024,陕西,理科,本科一批,485,54709,,16,大连交通大学
武汉交通职业学院,2024,陕西,文科,专科批,379,54827,,,武汉交通职业学院
四川文化产业职业学院,2024,陕西,文科,专科批,378,54872,,,四川文化产业职业学院
东北石油大学,2024,陕西,理科,本科一批,484,54877,,10,东北石油大学
南京审计大学,2024,陕西,理科,本科一批,484,55213,,9,南京审计大学
兰州资源环境职业技术大学,2024,陕西,文科,专科批,377,55232,,,兰州资源环境职业技术
北京林业大学,2024,陕西,理科,本科一批,484,55261,,10,北京林业大学
江苏大学,2024,陕西,理科,本科一批,484,55285,,18,江苏大学
西南大学,2024,陕西,理科,本科一批,484,55290,,30,西南大学
广东轻工职业技术大学,2024,陕西,文科,专科批,377,55325,,,广东轻工职业技术大学
山西财经大学,2024,陕西,理科,本科一批,484,55344,,55,山西财经大学
四川建筑职业技术大学,2024,陕西,文科,专科批,376,55521,,,四川建筑职业技术大学
陕西财经职业技术学院,2024,陕西,文科,专科批,375,55971,,,陕西财经职业技术学院
温州医科大学,2024,陕西,理科,本科二批,483,56036,,,温州医科大学
西南政法大学,2024,陕西,理科,本科提前批A段,483,56036,,,西南政法大学
西北政法大学,2024,陕西,理科,本科一批,482,56143,,34,西北政法大学
北京语言大学,2024,陕西,理科,本科一批,482,56163,,2,北京语言大学
广东南华工商职业学院,2024,陕西,文科,专科批,374,56247,,,广东南华工商职业学院
沈阳农业大学,2024,陕西,理科,本科一批,482,56285,,5,沈阳农业大学
北京石油化工学院,2024,陕西,理科,本科二批,482,56308,,5,北京石油化工学院
天津理工大学,2024,陕西,理科,本科一批,482,56480,,16,天津理工大学
辽宁中医药大学,2024,陕西,理科,本科二批,482,56503,,10,辽宁中医药大学
宁波大学,2024,陕西,理科,本科一批,482,56538,,13,宁波大学
湖北交通职业技术学院,2024,陕西,文科,专科批,373,56678,,,湖北交通职业技术学院
重庆大学,2024,陕西,理科,高校专项计划批次,482,56695,,,重庆大学
大连医科大学,2024,陕西,理科,本科一批,481,56798,,7,大连医科大学
西安财经大学,2024,陕西,理科,本科一批,481,56827,,1860,西安财经大学
济南护理职业学院,2024,陕西,文科,专科批,373,56830,,,济南护理职业学院
延边大学,2024,陕西,理科,本科一批,481,56848,,10,延边大学
天津医科大学,2024,陕西,理科,本科一批,481,56868,,5,天津医科大学
延安大学,2024,陕西,理科,本科一批,481,56889,,12,延安大学
成都信息工程大学,2024,陕西,理科,本科二批,481,56900,,5,成都信息工程大学
新疆警察学院,2024,陕西,文科,专科批,373,56900,,,新疆警察学院
楚雄医药高等专科学校,2024,陕西,文科,专科批,373,56906,,,楚雄医药高等专科学校
遵义医科大学,2024,陕西,理科,本科二批,481,56950,,7,遵义医科大学
湖南信息职业技术学院,2024,陕西,文科,专科批,372,57139,,,湖南信息职业技术学院
中南大学,2024,陕西,理科,本科一批,481,57202,,13,中南大学
陕西理工大学,2024,陕西,理科,本科一批,481,57262,,2822,陕西理工大学
南昌航空大学,2024,陕西,理科,本科二批,480,57402,,97,南昌航空大学
黑龙江中医药大学,2024,陕西,理科,本科一批,480,57417,,43,黑龙江中医药大学
重庆师范大学,2024,陕西,理科,本科二批,480,57510,,10,重庆师范大学
哈尔滨商业大学,2024,陕西,理科,本科一批,480,57550,,52,哈尔滨商业大学
中国矿业大学（北京）,2024,陕西,理科,本科一批,480,57556,,6,中国矿业大学（北京）
沈阳师范大学,2024,陕西,理科,本科二批,480,57646,,4,沈阳师范大学
陕西理工大学,2024,陕西,理科,本科一批,480,57660,,21,陕西理工大学
浙江理工大学,2024,陕西,理科,本科一批,480,57666,,3,浙江理工大学
浙江财经大学,2024,陕西,理科,本科二批,480,57736,,18,浙江财经大学
暨南大学,2024,陕西,理科,本科一批,480,57768,,3,44003
郑州轻工业大学,2024,陕西,理科,本科二批,480,57770,,5,郑州轻工业大学
新疆农业职业技术大学,2024,陕西,文科,专科批,370,57806,,,新疆农业职业技术大学
淮南联合大学,2024,陕西,文科,专科批,369,58061,,,淮南联合大学
南京工业职业技术大学,2024,陕西,理科,本科二批,479,58075,,1,南京工业职业技术大学
安徽财经大学,2024,陕西,理科,本科一批,479,58124,,53,安徽财经大学
湖南大学,2024,陕西,理科,本科一批,479,58137,,19,湖南大学
江苏航运职业技术学院,2024,陕西,文科,专科批,369,58145,,,江苏航运职业技术学院
大连海事大学,2024,陕西,理科,本科一批,479,58279,,7,大连海事大学
绵阳职业技术学院,2024,陕西,文科,专科批,369,58294,,,绵阳职业技术学院
湖北职业技术学院,2024,陕西,文科,专科批,369,58304,,,湖北职业技术学院
齐鲁理工学院,2024,陕西,文科,专科批,369,58315,,,齐鲁理工学院
北京交通大学,2024,陕西,理科,本科一批,479,58401,,16,北京交通大学
成都外国语学院,2024,陕西,文科,专科批,368,58403,,,成都外国语学院
陕西理工大学,2024,陕西,理科,本科一批,479,58477,,102,陕西理工大学
江苏财经职业技术学院,2024,陕西,文科,专科批,368,58534,,,江苏财经职业技术学院
北京交通大学,2024,陕西,理科,本科一批,479,58581,,,北京交通大学
北京外国语大学,2024,陕西,理科,本科一批,478,58625,,1,10007
陕西中医药大学,2024,陕西,理科,本科一批,478,58660,,1809,陕西中医药大学
西安外国语大学,2024,陕西,理科,本科一批,478,58663,,656,西安外国语大学
沈阳航空航天大学,2024,陕西,理科,本科二批,478,58666,,4,沈阳航空航天大学
山西职业技术学院,2024,陕西,文科,专科批,367,58667,,,山西职业技术学院
天津外国语大学,2024,陕西,理科,本科一批,478,58744,,12,天津外国语大学
九江职业大学,2024,陕西,文科,专科批,367,58762,,,九江职业大学
陕西国际商贸学院,2024,陕西,文科,专科批,367,58875,,,陕西国际商贸学院
西安外国语大学,2024,陕西,理科,本科一批,478,58920,,5,西安外国语大学
集美大学,2024,陕西,理科,本科二批,478,58940,,13,集美大学
石河子大学,2024,陕西,理科,本科一批,478,58945,,8,石河子大学
北京建筑大学,2024,陕西,理科,本科一批,478,59018,,7,北京建筑大学
东北财经大学,2024,陕西,理科,本科一批,478,59124,,2,东北财经大学
西北师范大学,2024,陕西,理科,本科二批,478,59174,,26,西北师范大学
天津工业大学,2024,陕西,理科,本科一批,478,59192,,19,天津工业大学
西北政法大学,2024,陕西,理科,本科一批,478,59194,,8,西北政法大学
无锡学院,2024,陕西,理科,本科二批,478,59210,,2,无锡学院
山东师范大学,2024,陕西,理科,本科一批,478,59266,,,山东师范大学
大连财经学院,2024,陕西,文科,专科批,366,59302,,,大连财经学院
雅安职业技术学院,2024,陕西,文科,专科批,365,59366,,,雅安职业技术学院
天津外国语大学,2024,陕西,理科,本科一批,477,59368,,2,天津外国语大学
石家庄医学高等专科学校,2024,陕西,文科,专科批,365,59389,,,石家庄医学高等专科学
海南经贸职业技术学院,2024,陕西,文科,专科批,365,59406,,,海南经贸职业技术学院
陕西中医药大学,2024,陕西,理科,本科一批,477,59555,,95,陕西中医药大学
沈阳理工大学,2024,陕西,理科,本科二批,477,59657,,40,沈阳理工大学
重庆理工大学,2024,陕西,理科,本科二批,477,59666,,29,重庆理工大学
成都大学,2024,陕西,理科,本科二批,477,59679,,22,成都大学
江苏食品药品职业技术学院,2024,陕西,文科,专科批,364,59693,,,江苏食品药品职业技术
西安科技大学,2024,陕西,理科,本科一批,477,59707,,179,西安科技大学
武汉纺织大学,2024,陕西,理科,本科二批,477,59750,,7,武汉纺织大学
西安医学院,2024,陕西,理科,本科一批,477,59768,,1986,西安医学院
上海电机学院,2024,陕西,理科,本科二批,477,59775,,14,上海电机学院
青岛大学,2024,陕西,理科,本科一批,477,59793,,10,青岛大学
嘉兴大学,2024,陕西,理科,本科二批,477,59797,,40,嘉兴大学
沈阳农业大学,2024,陕西,理科,本科一批,477,59818,,8,沈阳农业大学
天津中医药大学,2024,陕西,理科,本科一批,476,59957,,3,天津中医药大学
长江工程职业技术学院,2024,陕西,文科,专科批,363,60011,,,长江工程职业技术学院
南昌工学院,2024,陕西,文科,专科批,363,60018,,,南昌工学院
山西工程科技职业大学,2024,陕西,文科,专科批,363,60020,,,山西工程科技职业大学
西安建筑科技大学,2024,陕西,理科,本科一批,476,60073,,179,西安建筑科技大学
辽宁工程技术大学,2024,陕西,理科,本科一批,476,60136,,15,辽宁工程技术大学
长春理工大学,2024,陕西,理科,本科一批,476,60146,,10,长春理工大学
沈阳航空航天大学,2024,陕西,理科,本科二批,476,60220,,2,沈阳航空航天大学
西安思源学院,2024,陕西,文科,专科批,363,60259,,,西安思源学院
上海对外经贸大学,2024,陕西,理科,本科一批,476,60314,,7,上海对外经贸大学
北京联合大学,2024,陕西,理科,本科二批,476,60328,,2,北京联合大学
江西信息应用职业技术学院,2024,陕西,文科,专科批,362,60365,,,江西信息应用职业技术
山东第二医科大学,2024,陕西,理科,本科二批,476,60390,,15,山东第二医科大学
山东传媒职业学院,2024,陕西,文科,专科批,362,60394,,,山东传媒职业学院
江西交通职业技术学院,2024,陕西,文科,专科批,362,60456,,,江西交通职业技术学院
江西财经职业学院,2024,陕西,文科,专科批,362,60465,,,江西财经职业学院
新疆和田学院,2024,陕西,文科,专科批,362,60524,,,新疆和田学院
福建农林大学,2024,陕西,理科,本科一批,476,60563,,6,福建农林大学
哈尔滨理工大学,2024,陕西,理科,本科一批,476,60578,,10,哈尔滨理工大学
青岛科技大学,2024,陕西,理科,本科一批,476,60586,,9,青岛科技大学
海南师范大学,2024,陕西,理科,本科一批,476,60653,,48,海南师范大学
沈阳建筑大学,2024,陕西,理科,本科一批,475,60693,,7,沈阳建筑大学
桂林医科大学,2024,陕西,理科,本科二批,475,60711,,10,桂林医科大学
西安财经大学,2024,陕西,理科,本科一批,475,60748,,24,西安财经大学
西安石油大学,2024,陕西,理科,本科一批,475,60753,,69,西安石油大学
大连外国语大学,2024,陕西,理科,本科一批,475,60759,,11,大连外国语大学
天津科技大学,2024,陕西,理科,本科二批,475,60769,,39,天津科技大学
济南大学,2024,陕西,理科,本科一批,475,60809,,10,济南大学
苏州大学,2024,陕西,理科,本科一批,475,60821,,13,32004
西安财经大学,2024,陕西,理科,本科一批,475,60840,,14,西安财经大学
河北北方学院,2024,陕西,理科,本科二批,475,60883,,10,河北北方学院
西安建筑科技大学,2024,陕西,理科,本科一批,475,60968,,140,西安建筑科技大学
西安建筑科技大学,2024,陕西,理科,本科一批,475,60985,,75,西安建筑科技大学
内蒙古科技大学包头医学院,2024,陕西,理科,本科二批,475,60987,,5,内蒙古科技大学包头医
西安交通工程学院,2024,陕西,文科,专科批,360,61049,,,西安交通工程学院
西安工业大学,2024,陕西,理科,本科一批,475,61057,,132,西安工业大学
天津外国语大学,2024,陕西,理科,本科一批,475,61076,,5,天津外国语大学
河南科技大学,2024,陕西,理科,本科二批,475,61082,,45,河南科技大学
西安工程大学,2024,陕西,理科,本科一批,475,61108,,81,西安工程大学
西安工程大学,2024,陕西,理科,本科一批,475,61112,,108,西安工程大学
西安石油大学,2024,陕西,理科,本科一批,475,61114,,124,西安石油大学
湖北师范大学,2024,陕西,理科,本科二批,475,61124,,8,湖北师范大学
西安理工大学,2024,陕西,理科,本科一批,475,61147,,163,西安理工大学
西安财经大学,2024,陕西,理科,本科一批,475,61150,,52,西安财经大学
陕西科技大学,2024,陕西,理科,本科一批,475,61178,,162,陕西科技大学
西安外国语大学,2024,陕西,理科,本科一批,475,61184,,35,西安外国语大学
西安邮电大学,2024,陕西,理科,本科一批,475,61186,,178,西安邮电大学
西安科技大学,2024,陕西,理科,本科一批,475,61224,,120,西安科技大学
浙江科技大学,2024,陕西,理科,本科二批,475,61225,,20,浙江科技大学
延安大学,2024,陕西,理科,本科一批,475,61244,,117,延安大学
西安外国语大学,2024,陕西,理科,本科一批,475,61254,,30,西安外国语大学
河南工业大学,2024,陕西,理科,本科二批,475,61258,,32,河南工业大学
西安医学院,2024,陕西,理科,本科一批,475,61275,,108,西安医学院
西安医学院,2024,陕西,理科,本科一批,475,61277,,27,西安医学院
四川航天职业技术学院,2024,陕西,文科,专科批,359,61302,,,四川航天职业技术学院
西南财经大学天府学院,2024,陕西,文科,专科批,359,61314,,,西南财经大学天府学院
广西中医药大学,2024,陕西,理科,本科二批,474,61400,,11,广西中医药大学
湖北汽车工业学院,2024,陕西,理科,本科二批,474,61620,,10,湖北汽车工业学院
五邑大学,2024,陕西,理科,本科二批,474,61626,,4,五邑大学
哈尔滨职业技术大学,2024,陕西,文科,专科批,358,61659,,,哈尔滨职业技术大学
曲靖健康医学院,2024,陕西,文科,专科批,358,61691,,,曲靖健康医学院
拉萨师范学院,2024,陕西,文科,专科批,358,61752,,,拉萨师范学院
河北化工医药职业技术学院,2024,陕西,文科,专科批,358,61759,,,河北化工医药职业技术
上海旅游高等专科学校,2024,陕西,文科,专科批,358,61822,,,上海旅游高等专科学校
山东财经大学,2024,陕西,理科,本科二批,474,61861,,31,山东财经大学
温州大学,2024,陕西,理科,本科二批,474,61917,,23,温州大学
新疆医科大学,2024,陕西,理科,本科二批,474,61925,,70,新疆医科大学
成都理工大学,2024,陕西,理科,本科二批,474,61957,,,成都理工大学
厦门理工学院,2024,陕西,理科,本科二批,474,61957,,,厦门理工学院
云南警官学院,2024,陕西,理科,本科提前批A段,474,61957,,,云南警官学院
中南民族大学,2024,陕西,理科,本科二批,473,61995,,21,中南民族大学
淮北师范大学,2024,陕西,理科,本科二批,473,62044,,8,淮北师范大学
宜宾职业技术学院,2024,陕西,文科,专科批,357,62076,,,宜宾职业技术学院
河北中医药大学,2024,陕西,理科,本科二批,473,62233,,16,河北中医药大学
天津商务职业学院,2024,陕西,文科,专科批,356,62268,,,天津商务职业学院
石家庄信息工程职业学院,2024,陕西,文科,专科批,356,62368,,,石家庄信息工程职业学
天津铁道职业技术学院,2024,陕西,文科,专科批,356,62427,,,天津铁道职业技术学院
山东外贸职业学院,2024,陕西,文科,专科批,355,62521,,,山东外贸职业学院
河北医科大学,2024,陕西,理科,本科二批,473,62534,,23,河北医科大学
湖南汽车工程职业大学,2024,陕西,文科,专科批,355,62596,,,湖南汽车工程职业大学
山西医药学院,2024,陕西,理科,本科二批,473,62675,,,山西医药学院
河南农业大学,2024,陕西,理科,本科二批,472,62696,,12,河南农业大学
内蒙古医科大学,2024,陕西,理科,本科二批,472,62741,,10,内蒙古医科大学
四川交通职业技术学院,2024,陕西,文科,专科批,355,62768,,,四川交通职业技术学院
太原科技大学,2024,陕西,理科,本科二批,472,62793,,158,太原科技大学
青岛理工大学,2024,陕西,理科,本科二批,472,62868,,88,青岛理工大学
上海工程技术大学,2024,陕西,理科,本科二批,472,62870,,63,上海工程技术大学
中国民用航空飞行学院,2024,陕西,理科,本科二批,472,62951,,172,中国民用航空飞行学院
浙江传媒学院,2024,陕西,理科,本科二批,472,62974,,3,浙江传媒学院
湖南交通职业技术学院,2024,陕西,文科,专科批,354,63022,,,湖南交通职业技术学院
昆明医科大学,2024,陕西,理科,本科二批,472,63079,,10,昆明医科大学
中国劳动关系学院,2024,陕西,理科,本科二批,472,63145,,4,中国劳动关系学院
武汉轻工大学,2024,陕西,理科,本科二批,472,63159,,15,武汉轻工大学
上海第二工业大学,2024,陕西,理科,本科二批,472,63211,,37,上海第二工业大学
重庆科技大学,2024,陕西,理科,本科二批,472,63276,,67,重庆科技大学
中国民用航空飞行学院,2024,陕西,理科,本科二批,472,63308,,17,中国民用航空飞行学院
广东金融学院,2024,陕西,理科,本科二批,471,63393,,5,广东金融学院
湖北生态工程职业技术学院,2024,陕西,文科,专科批,352,63569,,,湖北生态工程职业技术
湖南工商大学,2024,陕西,理科,本科二批,471,63607,,12,湖南工商大学
郑州轻工业大学,2024,陕西,理科,本科二批,471,63627,,12,郑州轻工业大学
中南民族大学,2024,陕西,理科,本科二批,471,63758,,4,中南民族大学
湖南科技职业学院,2024,陕西,文科,专科批,351,63767,,,湖南科技职业学院
江苏师范大学,2024,陕西,理科,本科二批,471,63820,,24,江苏师范大学
上海应用技术大学,2024,陕西,理科,本科二批,471,63831,,36,上海应用技术大学
桂林理工大学,2024,陕西,理科,本科二批,471,63876,,4,桂林理工大学
苏州科技大学,2024,陕西,理科,本科二批,471,63899,,12,苏州科技大学
厦门医学院,2024,陕西,理科,本科二批,471,63900,,6,厦门医学院
山西医科大学,2024,陕西,理科,本科二批,471,63934,,18,山西医科大学
浙江财经大学,2024,陕西,理科,本科二批,471,63942,,5,浙江财经大学
厦门理工学院,2024,陕西,理科,本科二批,471,64057,,,厦门理工学院
河北科技工程职业技术大学,2024,陕西,文科,专科批,350,64118,,,河北科技工程职业技术
湖北师范大学文理学院,2024,陕西,文科,专科批,350,64203,,,湖北师范大学文理学院
四川警察学院,2024,陕西,理科,本科二批,470,64244,,3,四川警察学院
甘肃政法大学,2024,陕西,理科,本科二批,470,64259,,9,甘肃政法大学
湖北三峡职业技术学院,2024,陕西,文科,专科批,349,64265,,,湖北三峡职业技术学院
西藏民族大学,2024,陕西,理科,本科二批,470,64277,,93,西藏民族大学
苏州工学院,2024,陕西,理科,本科二批,470,64301,,20,苏州工学院
